Company_Name,Job_Title,Skills,location
FGBS- Ford Global Business Services,Warranty Claims Assessor,Marketing Sales & Service,"India, Chennai"
FGBS- Ford Global Business Services,Infrastructure Automation Engineer,IT,"India, Chennai"
FGBS- Ford Global Business Services,Full Stack Developer - FCP,Information Technology,"India, Chennai"
FGBS- Ford Global Business Services,Financial Analyst - Profit Analysis,Finance,"India, Chennai"
FBSC - Ford Business Services Center,Senior Finance Analyst,Finance,"India, Chennai"
FGBS- Ford Global Business Services,EHPAS Security Admin,Information Technology,"India, Chennai"
FGBS- Ford Global Business Services,Codification Analyst,Manufacturing,"India, Chennai"
FGBS- Ford Global Business Services,SPI Analyst,Manufacturing,"India, Chennai"
FGBS- Ford Global Business Services,Security Analyst,IT,"India, Chennai"
FGBS- Ford Global Business Services,Security Analyst,IT,"India, Chennai"
FGBS- Ford Global Business Services,Global Incident Management Analyst,Information Technology,"India, Chennai"
FGBS- Ford Global Business Services,IT Operation Analyst,Information Technology,"India, Chennai"
FGBS- Ford Global Business Services,RPA Analyst,IT,"India, Chennai"
FGBS- Ford Global Business Services,Server Build Hosting Infra Review (HIR) Engineer – Windows,IT,"India, Chennai"
FGBS- Ford Global Business Services,Vault (Hashicorp) Engineer,IT,"India, Chennai"
FGBS- Ford Global Business Services,Cloud Automation Engineer,IT,"India, Chennai"
FGBS- Ford Global Business Services,Mainframe Operations Analyst,IT,"India, Chennai"
FGBS- Ford Global Business Services,IT Operations Engineer - PCF / CaaS,IT,"India, Chennai"
FGBS- Ford Global Business Services,IT Operations Analyst,IT,"India, Chennai"
FGBS- Ford Global Business Services,Linux / Unix L2 Engineer,Information Technology,"India, Chennai"
FGBS- Ford Global Business Services,Security & Controls Champion,IT,"India, Chennai"
FGBS- Ford Global Business Services,MP&L WERS Releasing Analyst,Manufacturing,"India, Chennai"
FGBS- Ford Global Business Services,BOM Validation & Pre-Prod analyst,Manufacturing,"India, Chennai"
FGBS- Ford Global Business Services,Analytics Modeler,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Analytics Modeler,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Analytics Modeler,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Analytics Modeler,GDIA,"India, Chennai"
FBSC - Ford Business Services Center,Data Operations Analyst,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Data Operations Analyst,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Data Operation Analyst,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Data Operations Analyst,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Data Operation Analyst,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Analyst,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Analyst,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Analyst,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Analyst,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Analyst,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Analyst,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Analyst,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Analyst,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Analyst,GDIA,"India, Chennai"
FGBS- Ford Global Business Services,German Linguist,Finance,"India, Chennai"
FGBS- Ford Global Business Services,SCM Analyst – Depot,Marketing Sales & Services,"India, Chennai"
FGBS- Ford Global Business Services,EU PFM Analyst,Marketing Sales & Services,"India, Chennai"
FGBS- Ford Global Business Services,TSO Publication Author,Marketing Sales & Service,"India, Chennai"
FGBS- Ford Global Business Services,Language Specialist,Credit,"India, Chennai"
FGBS- Ford Global Business Services,Product Manager- IT,IT,"India, Chennai"
FGBS- Ford Global Business Services,US Warranty Reporting Specialist,Marketing Sales & Services,"India, Chennai"
FGBS- Ford Global Business Services,Analytics Modeler (Machine Learning),GDIA,"India, Chennai"
FGBS- Ford Global Business Services,Agile Coach,IT,"India, Chennai"
