Company_Name,Job_Title,Skills,location,Positions_Remaining
FGBS- Ford Global Business Services,Warranty Claims Assessor,,"India, Chennai",1
FGBS- Ford Global Business Services,Infrastructure Automation Engineer,,"India, Chennai",1
FGBS- Ford Global Business Services,Full Stack Developer - FCP,,"India, Chennai",1
FGBS- Ford Global Business Services,Financial Analyst - Profit Analysis,,"India, Chennai",1
FBSC - Ford Business Services Center,Senior Finance Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,EHPAS Security Admin,,"India, Chennai",1
FGBS- Ford Global Business Services,Codification Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,SPI Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Security Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Security Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Global Incident Management Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,IT Operation Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,RPA Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Server Build Hosting Infra Review (HIR) Engineer – Windows,,"India, Chennai",1
FGBS- Ford Global Business Services,Vault (Hashicorp) Engineer,,"India, Chennai",1
FGBS- Ford Global Business Services,Cloud Automation Engineer,,"India, Chennai",1
FGBS- Ford Global Business Services,Mainframe Operations Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,IT Operations Engineer - PCF / CaaS,,"India, Chennai",1
FGBS- Ford Global Business Services,IT Operations Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Linux / Unix L2 Engineer,,"India, Chennai",1
FGBS- Ford Global Business Services,Security & Controls Champion,,"India, Chennai",1
FGBS- Ford Global Business Services,MP&L WERS Releasing Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,BOM Validation & Pre-Prod analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Analytics Modeler,,"India, Chennai",1
FGBS- Ford Global Business Services,Analytics Modeler,,"India, Chennai",1
FGBS- Ford Global Business Services,Analytics Modeler,,"India, Chennai",1
FGBS- Ford Global Business Services,Analytics Modeler,,"India, Chennai",1
FBSC - Ford Business Services Center,Data Operations Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Data Operations Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Data Operation Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Data Operations Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Data Operation Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,German Linguist,,"India, Chennai",1
FGBS- Ford Global Business Services,SCM Analyst – Depot,,"India, Chennai",1
FGBS- Ford Global Business Services,EU PFM Analyst,,"India, Chennai",1
FGBS- Ford Global Business Services,TSO Publication Author,,"India, Chennai",1
FGBS- Ford Global Business Services,Language Specialist,,"India, Chennai",1
FGBS- Ford Global Business Services,Product Manager- IT,,"India, Chennai",1
FGBS- Ford Global Business Services,US Warranty Reporting Specialist,,"India, Chennai",1
FGBS- Ford Global Business Services,Analytics Modeler (Machine Learning),,"India, Chennai",1
FGBS- Ford Global Business Services,Agile Coach,,"India, Chennai",1
