job_role,Requisition id,Location,job_description
,,,
"Associate Analyst, Platform Operations",  R-84831,"Gurgaon, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Associate Analyst, Platform Operations,Job Description Summary,Overview,MasterCard is a technology company in the global payments business.  We connect consumers, financial institutions, merchants, governments and businesses worldwide and enable them to use secure and convenient electronic forms of payment.,Join the industry’s most passionate, motivated & engaged global team - Our employees are encouraged to drive innovation every day in support of a more connected world – A World Beyond Cash.,• The Data & Services team is a key differentiator for Mastercard, providing the cutting-edge services that help our customers grow. Focused on thinking big and scaling fast around the globe, this agile team is responsible for end-to-end solutions for a diverse global customer base. Centered on data-driven technologies and innovation, these services include payments-focused consulting, loyalty and marketing programs, business Test & Learn experimentation, and data-driven information and risk management services.,• The D&S Business Operations team is a global team focused on ensuring that all of Data & Services can make data-driven decisions and operate effectively and efficiently.  The team is charged with managing and adapting the policies, processes and platforms used across Data & Services.,• The Operations Platform Associate Analyst will support the operational systems used across Data & Services.  Support to include the delivery of training, execution of adoption campaigns, implementation of data improvement efforts, reporting, and assisting with testing updates.  These systems to include Order Management, Sales (saleforce.com), FinancialForce PSA, and other new platforms implemented related to operations globally,Role,List only the essential responsibilities of the position in bullet form – 5-6 maximum. Begin each with a present tense, action verb.,• Provides first tier technical and process support directly for inquiries for Business Operation’s platforms, to include support related to workflow, customer profiles, and record adjustments,• Leads onboarding and training to business users to help drive increased adoption of functionality and productivity tools,• Under general supervision, supports investigation and resolution of issues, concerns and requests,• Conducts periodic Quality Control checks and Data Audits,• Supports the Business Operations Solutions team in the daily management and maintenance of the operational systems used across Advisors,• Supports platform maintenance and enhancements as defined in the operations roadmap for integration and improvements,All About You,• BS/BA degree or combination of experience and formal education,• Experience contributing to the delivery of accurate and timely resolutions to inquires under direct guidance,• Demonstrates strong knowledge of customer service standards, processes and tools,• Demonstrates ability to contribute to support projects/inquiries,• Strong verbal and written communication skills,• Advanced software skills; proficient in Microsoft Word, Excel and PowerPoint.  Access and Visio a plus,• Proven team player with excellent interpersonal skills,• Detailed driven and results oriented,• Ability to work independently and maintain confidentiality,• Keen analytical and proven problem solving skills,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-84831"
,,,
ETL Developer with Altryx,  R-85230,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,ETL Developer with Altryx,Overview,Employee Experience is a major focus area for progressive and futuristic organizations. Employee Digital Experience team’s charter include driving strategy, thought leadership, technology delivery, measurement and governance of employee experience programs globally leveraging design thinking, user experience techniques, modern technology platforms and tools, advanced analytics and automation.,• Are you passionate in driving solutions that elevate digital experiences for Mastercard employees?,• Are you passionate about people, and excited to evolve with a career at Mastercard?,The Data Visualization Specialist we supports the information needs of the business by designing, developing, and maintaining BI platforms, reports, dashboards, and visualizations. The primary focus for this role will involve taking business and functional requirements from concept and development through to deployment to the production environment and supporting user community.,Role,• Establishing end to end technology aspects of a SaaS platform orchestration with special focus on the data flow associated with the platform use cases,• Participate in activities on cross-functional teams in order to achieve goals of BI and IT projects, including work plans, system design, development and testing of solutions,• Ability to design and create database schemas and reporting models for the BI solution in a relational database management system (Oracle, SQL Server),• Ability to create/modify stored procedures to transform data and apply required business rules,• Establishing reports and dashboards using Oracle BI, Power BI, DOMO, Tableau,• Ability to ensure that data is available to decision makers through dashboards and reports, as well as self-service methods,• Provide technical support for production reports including troubleshooting and configuration management,• Protecting the integrity and quality of BI solutions while securing the organizations data assets in accordance to best practices and company policy,All about You,• Knowledgeable and proficient in data modeling and information architecture,• Excellent project management, coordination and communication skills,• Knowledge of Tableau, Power BI, DOMO, SQL Server Reporting Service (SSRS),• Knowledge of R, Python, BI trends, Excel, Access, and data modeling (logical and physical),• Excellent and experience in creating simple queries using SQL, data visualization tools and creating data reports,• Experienced in presenting data with confidence to team members, customers, and business leaders both in informal and formal presentation settings,• Computing/Engineering degree,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-85230"
,,,
"Consultant, Technical Program Management-4",  R-79130,"Vadodara, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Consultant, Technical Program Management-4,Overview:,Are you a technical program manager who wants to shape the cloud platform for Mastercard’s digital, marketing, loyalty, and business services (DML) products? Do you want to work for a company that offers above and beyond benefits including paid parental leave, flexible work hours, gift matching, and even volunteer incentives? Do you want to work in an inclusive and nurturing culture that encourages your own professional learning and development?,Over the next 12-18 months, we are breaking up our DML monoliths and re-platforming features into re-usable micro-services and APIs while we continue to innovate and deliver results for our customers. All net new capabilities will be built on the DML cloud platform supporting multi-tenancy and multi-geography capabilities for the company. We are looking for seasoned technical program management professionals to join our team and help us build towards the future. Our Technical Program Managers (TPM) conceptualize, rationalize, and drive multiple simultaneous projects to deliver engineering work across the portfolio in our scrum execution model.,Responsibilities:,You get to dive as deep as you want into the tech stack, the integration patterns, the organizational capabilities, and the company wide assets that can be leveraged to provide technical solutions to customer problems. You will contribute to the strategies, design choices, and even the cloud infrastructure necessary to build comprehensive believable and achievable execution plans to deliver high-profile new features and capabilities for our customers. You may drive the execution of a feature through the full stack or may drive a project which spans multiple teams and integrations, reporting meaningful status along the way.,Experiences,• Demonstrated ability to operate with independence and autonomy,• Experience defining and building cloud-native software products as a platform at scale with a deep understanding of those platforms capabilities and underlying technologies.,• Demonstrated experience breaking down problems, organizing work, planning sprints, and delivering technical programs in agile delivery models (scrum, Kanban, etc.),• Experience working on programs to define and build cloud-native software products as a platform at scale,• Enjoys diving deep to understand of the platforms capabilities and underlying technologies.,• Proven track record of data driven decision-making and applying continuous improvement methodologies across teams,• Can debate the delivery strategy with business teams, architects, engineers, and designers,• Can communicate to executives, peers, and staff with impact, eloquence, and authenticity,• Demonstrated experience building relationships, partnering with and influencing dependent teams while commanding the respect of the individuals you work with across the organization,• Huge plus if you have expertise in Payments, IaaS, PaaS, serverless technology, CI/CD, NoSQL databases, microservices APIs, and distributed systems operations in a DevOps model,• BS in engineering, computer science or related discipline.,• Technical program delivery experience including time developing and testing software,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-79130"
,,,
"Associate Analyst, Operations Platform",  R-84829,"Gurgaon, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Associate Analyst, Operations Platform,Job Description Summary,Overview,MasterCard is a technology company in the global payments business.  We connect consumers, financial institutions, merchants, governments and businesses worldwide and enable them to use secure and convenient electronic forms of payment.,Join the industry’s most passionate, motivated & engaged global team - Our employees are encouraged to drive innovation every day in support of a more connected world – A World Beyond Cash.,• The Data & Services team is a key differentiator for Mastercard, providing the cutting-edge services that help our customers grow. Focused on thinking big and scaling fast around the globe, this agile team is responsible for end-to-end solutions for a diverse global customer base. Centered on data-driven technologies and innovation, these services include payments-focused consulting, loyalty and marketing programs, business Test & Learn experimentation, and data-driven information and risk management services.,• The D&S Business Operations team is a global team focused on ensuring that all of Data & Services can make data-driven decisions and operate effectively and efficiently.  The team is charged with managing and adapting the policies, processes and platforms used across Data & Services.,• The Operations Platform Associate Analyst will support the operational systems used across Data & Services.  Support to include the delivery of training, execution of adoption campaigns, implementation of data improvement efforts, reporting, and assisting with testing updates.  These systems to include Order Management, Sales (saleforce.com), FinancialForce PSA, and other new platforms implemented related to operations globally,Role,List only the essential responsibilities of the position in bullet form – 5-6 maximum. Begin each with a present tense, action verb.,• Provides first tier technical and process support directly for inquiries for Business Operation’s platforms, to include support related to workflow, customer profiles, and record adjustments,• Leads onboarding and training to business users to help drive increased adoption of functionality and productivity tools,• Under general supervision, supports investigation and resolution of issues, concerns and requests,• Conducts periodic Quality Control checks and Data Audits,• Supports the Business Operations Solutions team in the daily management and maintenance of the operational systems used across Advisors,• Supports platform maintenance and enhancements as defined in the operations roadmap for integration and improvements,All About You,• BS/BA degree or combination of experience and formal education,• Experience contributing to the delivery of accurate and timely resolutions to inquires under direct guidance,• Demonstrates strong knowledge of customer service standards, processes and tools,• Demonstrates ability to contribute to support projects/inquiries,• Strong verbal and written communication skills,• Advanced software skills; proficient in Microsoft Word, Excel and PowerPoint.  Access and Visio a plus,• Proven team player with excellent interpersonal skills,• Detailed driven and results oriented,• Ability to work independently and maintain confidentiality,• Keen analytical and proven problem solving skills,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-84829"
,,,
"Associate Engineer, Software Engineering",  R-84895,"Pune, IND","We are the global technology company behind the world’s fastest payments processing network. We are a vehicle for commerce, a connection to financial systems for the previously excluded, a technology innovation lab, and the home of  Priceless  at https://www.priceless.com/ ®. We ensure every employee has the opportunity to be a part of something bigger and to change lives.  We believe as our company grows, so should you. We believe in connecting everyone to endless, priceless possibilities.,Associate Engineer, Software Engineering,Overview,• Core Payments of MasterCard is involved in developing Authorization, Clearing, Debit and other major functionalities for MasterCard. Analyze and create cutting edge solutions for Core Payments teams. Proficient with COBOL, DB2, CICS, JCL,PROC.,Proficient with MicroFocus COBOL running on LINUX servers,• Should be able to use MicroFocus convertor to convert existing code to COBOL.,• Experience with code development and deployments of Microfocus Cobol to Linux servers and TWS scheduler.,• Hands on Experience with Software development,• Manage relationship with various stakeholders - Business Owners, Testing Teams etc.,• Coordinate with other groups including vendors to ensure success of the project.,• Has capability to design simple to medium-complex projects.,• Have you lead an end to end Agile (SAFe) development project?,• Card Issuing, Acquirirng or Network experience.,Role,• Agile Manager for development initiatives in Core Payment Systems,• Coordinate with various groups in MasterCard to ensure success of the projects,• Assign teams for ensuring quality deliverables and tracking,• Maintain and present project related metrics reporting for management review,• Lead initiatives for automation, defect metrics and overall quality initiatives,• Handle coordination between teams based in various locations,All About You,• Certification in SA ( SAFe Agilist) or SPMPO ( SAFe Product Manager/Owner) or Certified SCRUM product owner or Professional,• Experience in Batch and online development,• Experience in CI and CD,• Involved and spearhead quality initiatives,• Result oriented individual Automation experience and Code Quality,• Strong Communicator.,   ,   ,Everyone wants easier ways to pay;,we invent them.,Checkout lines are slow;,we speed them along.,Merchants want more sales;,we give them data and insights.,People need financial access;,we connect them.,Corporate purchasing is complicated;,we make it simple.,Commuters are busy;,we speed them on their way.,Governments need greater efficiencies;,we help create them.,Small businesses are virtual;,we give them access to a world of buyers.,Retailers want to fight fraud;,we provide the tools.,  R-84895"
