job_role,Requisition id,job responsibilities,qualification,desired,location
,,,,,
CIB - Middle office - Transaction Processing Specialist - Operations Analyst,190037970,,,,"Mumbai,MH,IN"
,,,,,
Technology Recruiter,190038550,,,,"Hyderabad,AP,IN"
,,,,,
Business Analyst,190030530,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineering - Associate,190020077,,,,"Bangalore East,KA,IN"
,,,,,
FRRA: Reg Reporting : Associate,190040922,,,,"Bangalore East,KA,IN"
,,,,,
Bengaluru - CB - 404/406 - Loan/Credit Operations-Transaction Processing Specialist,190013700,,,,"Bangalore East,KA,IN"
,,,,,
CIB - OTC Derivatives Confirms - Transaction Processing Specialist - Operations Analyst,190040185,,,,"Mumbai,MH,IN"
,,,,,
Risk Projects & Solutions Associate – BI Automation Lead,190030149,,,,"Mumbai,MH,IN"
,,,,,
Senior Analyst - FRRA,190030081,,,,"Bangalore East,KA,IN"
,,,,,
CB - Business Analyst & Reporting Specialist - Analyst,190037465,,,,"Bangalore East,KA,IN"
,,,,,
CIB  – Securities Services Operations - Transaction Processing Manager - Associate,190033171,,,,"Mumbai,MH,IN"
,,,,,
Applications Support,190022958,,,,"Mumbai,MH,IN"
,,,,,
Business Analyst - 1,190034598,,,,"Mumbai,MH,IN"
,,,,,
Specialist II,190037308,,,,"Bangalore East,KA,IN"
,,,,,
CIB - F&BM - Program Manager - Vice President,190038020,,,,"Bangalore East,KA,IN"
,,,,,
Corporate Finance - Firmwide Financial Accounting and Reporting - Corporate Investment Bank - Asia Financial Control - Associate,190033133,,,,"Mumbai,MH,IN"
,,,,,
CIB – Custody & Fund Services – Business Analysis & Reporting Specialist – Operations Analyst,190028114,,,,"Mumbai,MH,IN"
,,,,,
Associate- Asia- Legal Entity Controller,190035444,,,,"Bangalore East,KA,IN"
,,,,,
"Associate - CFO MIS, CIB F&BM, Global Finance, Mumbai",190013271,,,,"Mumbai,MH,IN"
,,,,,
UI Lead  - Project Blackbird,190007375,,,,"Bangalore East,KA,IN"
,,,,,
Senior Quant developer,190040874,,,,"Bangalore East,KA,IN"
,,,,,
Site Reliability Engineer - Associate,190029024,,,,"Bangalore East,KA,IN"
,,,,,
Corporate Finance - Firmwide Financial Accounting and Reporting - Corporate Investment Bank - CB Financial Control - Associate,190038814,,,,"Mumbai,MH,IN"
,,,,,
Software Engineering,190030987,,,,"Hyderabad,AP,IN"
,,,,,
Team Leader - Collections,190037571,,,,"Mumbai,MH,IN"
,,,,,
CIB – Securities Services Operations – Fund Accounting Specialist – Team Leader,190036399,,,,"Bangalore East,KA,IN"
,,,,,
CIB – Securities Services Operations – Fund Accounting Specialist – Operations Analyst,190036401,,,,"Bangalore East,KA,IN"
,,,,,
CIB – Securities Services Operations – Fund Accounting Specialist – Team Leader,190036398,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineering - BI and Oracle DB developer,190022249,,,,"Hyderabad,AP,IN"
,,,,,
ScrumMaster,190022935,,,,"Hyderabad,AP,IN"
,,,,,
Associate_GFI Asia LEC,190027516,,,,"Bangalore East,KA,IN"
,,,,,
CIB - Derivativ Operations - Transaction Processing Specialist - Team Leader,190036013,,,,"Bangalore East,KA,IN"
,,,,,
VP KYC Operations - 603,190038039,,,,"Hyderabad,AP,IN"
,,,,,
Business Process Analyst (502),190040195,,,,"Bangalore East,KA,IN"
,,,,,
Hyderabad - CB - KYC Operations - 404/406 - Team Member / Senior Team Member,190014091,,,,"Hyderabad,AP,IN"
,,,,,
"Software Engineer, Suitability Team",190029707,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineer - Corporate Actions Asset Management,190033552,,,,"Mumbai,MH,IN"
,,,,,
Securities Services Middle Office - Client Instruction Capture Change - Analyst - Mumbai,190025847,,,,"Mumbai,MH,IN"
,,,,,
Software Engineer,190037036,,,,"Bangalore East,KA,IN"
,,,,,
Team Member - DRO,190039801,,,,"Bangalore East,KA,IN"
,,,,,
CIB - Middle office - Transaction Processing Specialist - Team Leader,190033577,,,,"Mumbai,MH,IN"
,,,,,
CIB - Document Management - Business Analyst - Associate,190016549,,,,"Bangalore East,KA,IN"
,,,,,
Microsoft SQL Server Database Administrator,190032438,,,,"Hyderabad,AP,IN"
,,,,,
Software  Engineering,190008097,,,,"Bangalore East,KA,IN"
,,,,,
KYC Specialist- Periodic Review Due Diligence,190036505,,,,"Bangalore East,KA,IN"
,,,,,
CB - WLS - Transaction Processing Specialist - Operations Analyst,190030521,,,,"Bangalore East,KA,IN"
,,,,,
Technical Lead - CRE,190015286,,,,"Bangalore East,KA,IN"
,,,,,
Asset Management Risk – Credit Risk Quality Assurance – Analyst,190017657,,,,"Mumbai,MH,IN"
,,,,,
Analyst_FRRA Ext Rep_ Sch Prep,190002388,,,,"Bangalore East,KA,IN"
,,,,,
Java Fullstack Developer,190016913,,,,"Bangalore East,KA,IN"
,,,,,
Senior Associate Application Developer,190024759,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineer,190004201,,,,"Bangalore East,KA,IN"
,,,,,
Data Protection Operations - Infrastructure Developer,180121838,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineering - Hadoop,190001366,,,,"Bangalore East,KA,IN"
,,,,,
"Senior Associate, ETL- Informatica /DB Lead (CB Tech)",190016651,,,,"Bangalore East,KA,IN"
,,,,,
Senior Analyst - Risk Reporting (Data Management),190013649,,,,"Bangalore East,KA,IN"
,,,,,
Full Stack Engineer,190027803,,,,"Bangalore East,KA,IN"
,,,,,
Full Stack Developer - VP,190029029,,,,"Mumbai,MH,IN"
,,,,,
Data Protection Operations - Infrastructure Developer,180122189,,,,"Bangalore East,KA,IN"
,,,,,
Production Support Analyst-MS,190039769,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineering - Associate,190009329,,,,"Bangalore East,KA,IN"
,,,,,
"Commercial Banking, Relationship Manager, Corporate Client Banking & Specialized Industries, Analyst / Associate, Mumbai & Chennai, India",190040982,,,,"Mumbai,MH,IN"
,,,,,
Global Liquidity Technology - Associate - Java Developer,190013249,,,,"Bangalore East,KA,IN"
,,,,,
Team Member/Analyst - Employee Compliance,190026739,,,,"Hyderabad,AP,IN"
,,,,,
Pricing & Strategic Billing Team Lead – Vice President,190017155,,,,"Mumbai,MH,IN"
,,,,,
Software Engineering - Associate,190009329,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineering,190027716,,,,"Hyderabad,AP,IN"
,,,,,
Product Support Lead- ATL,190035055,,,,"Hyderabad,AP,IN"
,,,,,
Software Engineering - Java,190017061,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineering - Java,190035476,,,,"Bangalore East,KA,IN"
,,,,,
"Application Developer - Java, J2EE, Middleware",190025452,,,,"Bangalore East,KA,IN"
,,,,,
Software Engineering - Java,190022243,,,,"Bangalore East,KA,IN"
,,,,,
Production Support Manager-MS,190039775,,,,"Bangalore East,KA,IN"
,,,,,
Production Support Analyst-MS,190039756,,,,"Bangalore East,KA,IN"
,,,,,
Associate- Asia- Legal Entity Controller,190035444,,,,"Bangalore East,KA,IN"
,,,,,
Associate_GFI Asia LEC,190027516,,,,"Bangalore East,KA,IN"
,,,,,
Corporate Finance - Firmwide Financial Accounting and Reporting - Corporate Investment Bank - Asia Financial Control - Associate,190033133,,,,"Mumbai,MH,IN"
,,,,,
Corporate Finance - Firmwide Financial Accounting and Reporting - Corporate Investment Bank - CB Financial Control - Associate,190038814,,,,"Mumbai,MH,IN"
,,,,,
"Associate - CFO MIS, CIB F&BM, Global Finance, Mumbai",190013271,,,,"Mumbai,MH,IN"
,,,,,
UI Lead  - Project Blackbird,190007375,,,,"Bangalore East,KA,IN"
,,,,,
Team Leader - Collections,190037571,,,,"Mumbai,MH,IN"
,,,,,
