job_role,job title,Requisition id,Location
,,,
"Consultant, Customer Technical Services",• Proven ability to interface directly with customers on most challenging/complex issues,  R-83512,"Pune, IND"
,,,
"Senior Engineer, Systems Platform Architecture",• Research and evaluate new technology for possible deployment in MasterCard’s internet infrastructure.,  R-82282,"Pune, IND"
,,,
"Senior Engineer, Systems Platform Engineering","• Intermediate knowledge of JBoss, WebSphere, Tomcat, Apache, WebSeal",  R-82280,"Pune, IND"
,,,
Analyst - Advanced Analytics,• Generates key hypotheses and independently structures work at the work stream or project level,  R-84042,"Gurgaon, IND"
,,,
System Analyst with Technical background,• Evaluate business requests to determine feasibility; work with Software Engineers to define alternatives and recommend optimal solutions.,  R-83642,"Pune, IND"
,,,
"Director, Software Engineering",Corporate purchasing is complicated;,  R-83069,"Pune, IND"
,,,
Technical Writer (Oxygen XML/DITA),• Writes and publishes technical content according to established protocols,  R-84067,"Vadodara, IND"
,,,
"Consultant, Product Management-Technical",• BS/MBA in related discipline.,  R-83592,"Vadodara, IND"
,,,
Senior Engineer (IOS Developer with Experience on Hybrid Platform),• Experience in doing test driven development & writing unit test cases.,  R-83673,"Vadodara, IND"
,,,
"Sr Java Engineer [ Core Java, Multithreading, Spring boot, Microservices ]",• Agile/Scrum Methodologies,  R-83963,"Pune, IND"
,,,
"Manager, Business Administration", Manage internal and external correspondence; screening as appropriate; to ensure timely response and follow up.,  R-83100,"Gurgaon, IND"
,,,
"Senior Engineer in Testing (SDET, Payment Domain. Payment simulation tools, API & CI) II",• Communicating with other project stakeholders,  R-77229,"Pune, IND"
,,,
"Senior Engineer, Biz Ops",• Practice sustainable incident response and blameless postmortems.,  R-83651,"Pune, IND"
,,,
"Senior Java Developer [ Java / J2EE, Spring, Hibernate, Webservices ]","•Bachelor's degree in Information Technology, Computer Science or equivalent education.",  R-83466,"Pune, IND"
,,,
Java Product Development Manager with Prepaid / Debit / Credit Card knowledge,All about you:,  R-57678,"Pune, IND"
,,,
Associate Engineer - Mainframe – COBOL  & VSAM,• Requires the skills to have a high degree of initiative and self-motivation to drive results.,  R-84065,"Pune, IND"
,,,
"Business Analyst/Project Manager (ISO 8583 Specs, Payments domain) 5.30 pm- 2.30 am shift timing",• Technical/operations experience within financial/payments industry with ISO 8583 specification knowledge.,  R-83865,"Pune, IND"
,,,
"Sr. Java Developer [ Core Java, Spring ]","• Bachelor's degree in Information Systems, Information Technology, Computer Science or Engineering or equivalent work experience.",  R-66900,"Pune, IND"
,,,
Scrum Master (Java Developer exp),"• Providing all support to the team using a servant leadership style whenever possible, and leading by example",  R-62700,"Pune, IND"
,,,
"Java Senior Engineer [ Java, Spring, Hibernate, SOAP / REST Webservices, PL/SQL, Jquery ]",Mandatory Skills,  R-70472,"Pune, IND"
,,,
"Java Architect/Consultant (OOPS, Core Java (Strong) + Advanced Java, Web Services (Soap + Rest) + Payments Domain)","• As recognized subject matter expert, lead planning, design and implementation of technical solutions.",  R-67147,"Pune, IND"
,,,
"Senior Engineer in Testing (SDET, Payment Domain. Payment simulation tools, API & CI)","You will part of Mastercard acquiring team which comprises the Authorization, Clearing etc.",  R-71494,"Pune, IND"
,,,
"Director- Software Development ( Java, Spring, Micro services, CI/CD, Cloud native )",• Considered a department thought leader and expert in Software Engineering as with experience in related engineering disciplines,  R-67708,"Pune, IND"
,,,
"Product Security Architect [ Java, Cloud, Microservices, Cryptography ]","• Can communicate to executives, peers, and staff with impact, eloquence, and authenticity",  R-69119,"Pune, IND"
,,,
"Vice President, Product Development, AI Garage @ Gurgaon",Experience,  R-75778,"Gurgaon, IND"
,,,
"Director, Software Engineering",• Overall 12-15 years of experience with minimum 4-5 years of managing large development teams & their activities.,  R-74641,"Pune, IND"
,,,
Senior Engineer Windows Admin with Automation/DevOps,• Stay abreast of current technologies and make recommendations based on knowledge and research.,  R-75684,"Pune, IND"
,,,
"Senior Engineer (Java , Spring boot, Web Services)",• Support test and build automation.,  R-76250,"Pune, IND"
,,,
"Sr. Consultant, Product Management-Technical",• Uses runtime metrics of their services in market as a feedback loop in to the backlog and balances the priorities against new feature requests,  R-76014,"Vadodara, IND"
,,,
"XML Gateway Support Engineer [ CA Layer 7 Policy Manager 8.x + , IBM Data Power ]",• Practice sustainable incident response and blameless postmortems.,  R-73323,"Pune, IND"
,,,
Java Architect,• Experience in Java J2EE technologies as well as database integration.,  R-76349,"Pune, IND"
,,,
"Manager, Product Development & Innovation (AI,Machine Learning,Python,R,SQL)",• Support a learning culture continuously advancing AI capabilities,  R-76558,"Gurgaon, IND"
,,,
"Senior Specialist -Client/Customer Support (Credit/Debit/ Prepaid cards/Card lifecycle and Unix, sql, pl/sql)",• Technical/operations experience within financial/payments industry,  R-76501,"Pune, IND"
,,,
"Software Engineer, Platforms- Data & Services","• Apply your skills in computer science, math, and statistics to solve important problems faced by some of the world's largest organizations",  R-76114,"Pune, IND"
,,,
"Senior Engineer Storage Technology - storage block, object, and switch infrastructure.","• Document architecture, implementation instructions, and collaborate well with peers via internal wiki’s and intranet sites.",  R-77223,"Pune, IND"
,,,
"Senior Specialist, Product Development & Innovation, (AI,Data Scientist,SQl,Python,R)",• Support a learning culture continuously advancing AI capabilities,  R-76564,"Gurgaon, IND"
,,,
"Manager, Product Development & Innovation, AI Garage Application Project Lead-2",• Support a learning culture continuously advancing AI capabilities,  R-76559,"Gurgaon, IND"
,,,
Director Software Engineering,• Prior experience with Cloud Native Architecture and development,  R-74502,"Pune, IND"
,,,
"Senior Engineer Virtualization, VMware Certified & Automation Exp","• Provide on call support, as needed.",  R-77224,"Pune, IND"
,,,
"Manager, Product Development & Innovation, AI Garage Application Project Lead-3",• Support a learning culture continuously advancing AI capabilities,  R-76560,"Gurgaon, IND"
,,,
"Associate Analyst, Security Operations Center (SOC)/Cyber Security/SIEM tool",• Able to work in shifts in a 24/7/365 environment.,  R-78374,"Pune, IND"
,,,
"Senior Java Developer [ Core Java, Spring, Selenium,  SOAP and REST Webservices ]","· Possesses strong communication skills -- both verbal and written – and strong relationship, collaborative skills and organizational skills.",  R-77668,"Pune, IND"
,,,
"Senior Engg, Soft Engg",• Tech leadership experience with development teams,  R-77859,"Pune, IND"
,,,
